T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,GD
DrMundo,Viego,Ekko,Samira,Leona,Renekton,Karthus,Leblanc,Yasuo,Swain,7072
Tryndamere,Nidalee,Tristana,Aphelios,Karma,DrMundo,Ekko,Anivia,Jhin,Morgana,3631
Sion,Shyvana,Ekko,Samira,Nautilus,Sett,Viego,Sylas,Jhin,Bard,7575
Aatrox,JarvanIV,Ryze,Varus,Shaco,Fiora,Lillia,Riven,Aphelios,Morgana,8307
KSante,Briar,Anivia,Aphelios,Twitch,Yasuo,Diana,Vex,Xayah,Lux,-4733
Trundle,Zac,Galio,Jinx,Senna,DrMundo,Nocturne,Malzahar,MissFortune,Camille,7869
Jinx,XinZhao,Malzahar,Jayce,Senna,Darius,Viego,Rumble,Smolder,Xerath,-9376
Aatrox,Udyr,Lissandra,Samira,Taric,Kled,MasterYi,Veigar,Xayah,Teemo,11509
Teemo,Brand,Fizz,Samira,Leona,Garen,Khazix,Kassadin,Jinx,Taric,9321
Darius,Briar,Brand,Jhin,Sona,Gragas,Khazix,Samira,Illaoi,Thresh,14622
Garen,LeeSin,Akali,Aphelios,Brand,Teemo,Warwick,Kassadin,Samira,Thresh,-9959
Chogath,LeeSin,Tristana,Jinx,Nami,DrMundo,Zac,Akali,Samira,Anivia,-8000
Akali,Amumu,Veigar,Jinx,Blitzcrank,DrMundo,XinZhao,Orianna,Kaisa,Lux,8423
Trundle,Karthus,Yasuo,Jhin,Senna,Camille,Amumu,AurelionSol,Veigar,Lux,42
Darius,Vi,Fizz,Ashe,Karma,TahmKench,Udyr,Yasuo,Jinx,Zyra,8906
Brand,Evelynn,Akshan,Kaisa,Janna,DrMundo,Jax,Sylas,Zeri,Zilean,-9316
TahmKench,JarvanIV,Annie,Samira,Leona,Kayle,Graves,Veigar,Draven,Rumble,-7505
Gwen,Nidalee,Sylas,Jinx,Viego,Trundle,Udyr,Hwei,Samira,Alistar,-3553
Sona,MasterYi,Yasuo,Aphelios,Morgana,Aatrox,Graves,Karma,KogMaw,Blitzcrank,-13939
Shen,Diana,Veigar,Jinx,Soraka,Volibear,Evelynn,Yone,KogMaw,Seraphine,-8535
Shyvana,Vi,Zed,Jinx,Braum,Fiora,Jax,Cassiopeia,Smolder,Lux,-11694
Teemo,Lillia,Lux,Samira,Nautilus,Irelia,Kindred,Katarina,Draven,Zac,5236
Yorick,JarvanIV,Ziggs,Jinx,Janna,Malphite,MasterYi,Veigar,Ezreal,Sona,7707
Camille,Lillia,Diana,Kaisa,Sona,TahmKench,Briar,Xerath,Jinx,Lulu,7303
DrMundo,Skarner,Zed,Jinx,Nami,Gwen,Kayn,Orianna,AurelionSol,Galio,9339
Camille,Yorick,Caitlyn,Jhin,Velkoz,Aatrox,Briar,AurelionSol,MissFortune,Thresh,7376
Tryndamere,Brand,Anivia,Kalista,Braum,Nasus,Rengar,Elise,Caitlyn,Nautilus,-7734
Urgot,Viego,Azir,Tristana,Nautilus,Quinn,XinZhao,Veigar,Caitlyn,Xerath,-8105
Garen,MasterYi,Neeko,MissFortune,Swain,Gragas,Vi,Ahri,Caitlyn,Yuumi,10634
Quinn,Lillia,Soraka,Caitlyn,Poppy,XinZhao,Shaco,Hwei,Tristana,Morgana,8144
Tristana,Kindred,Ahri,Nasus,Alistar,Gwen,Ekko,Akshan,Caitlyn,Milio,-15038
Yasuo,Diana,Taliyah,Caitlyn,Lulu,Urgot,Belveth,Lux,Samira,Singed,7236
Vayne,Warwick,Nasus,Caitlyn,Bard,Irelia,MasterYi,Gragas,Jhin,Seraphine,-13069
Garen,Brand,Qiyana,Caitlyn,Nautilus,Darius,Taliyah,Tristana,Ezreal,Poppy,11754
Vladimir,Amumu,Ahri,Jhin,Seraphine,Kayle,Evelynn,AurelionSol,Caitlyn,Camille,-18780
DrMundo,LeeSin,Fizz,AurelionSol,Ashe,Teemo,RekSai,Tristana,Karthus,Nautilus,-1257
DrMundo,Jax,Veigar,Caitlyn,Nami,Mordekaiser,XinZhao,Zed,Jhin,Swain,5831
Mordekaiser,Amumu,Cassiopeia,Jhin,Anivia,Aatrox,Brand,Akshan,Ezreal,Swain,-12136
Lillia,Viego,AurelionSol,Jinx,Braum,Sett,Zac,Ahri,Caitlyn,Brand,-11122
Sett,Teemo,Ahri,KogMaw,Janna,Yorick,Kindred,Orianna,Aphelios,Soraka,-11631
Yorick,Amumu,Orianna,Lucian,Braum,Illaoi,Sejuani,Heimerdinger,Ezreal,Brand,11512
Fiora,Volibear,Sylas,Tristana,Thresh,Nasus,Amumu,XinZhao,Caitlyn,Lux,-9284
Malzahar,MonkeyKing,Kayle,Yasuo,Xerath,Rell,Belveth,TwistedFate,Morgana,Darius,-6774
Thresh,Zyra,Udyr,Tryndamere,Maokai,Brand,Viego,Ahri,Draven,Alistar,-9116
TwistedFate,DrMundo,Kled,TahmKench,Fizz,Tristana,Aphelios,KogMaw,Yorick,LeeSin,-6503
TahmKench,Quinn,Twitch,Pantheon,Veigar,Zoe,Brand,Viktor,Xayah,Gragas,-32
Khazix,Neeko,Taric,Velkoz,Anivia,Evelynn,Brand,Ryze,Karthus,Jayce,2046
Ornn,Vi,Malphite,Caitlyn,Thresh,Shen,Chogath,Malzahar,MissFortune,Brand,8712
Yone,Kayn,Katarina,Jhin,Thresh,Gragas,Kindred,Brand,KogMaw,Nami,10956
Illaoi,Nocturne,Nasus,Jhin,Nami,Heimerdinger,JarvanIV,Corki,Lucian,Milio,9161
Caitlyn,Amumu,Taliyah,Shen,Milio,Darius,Udyr,Veigar,Twitch,Teemo,89
Yone,Skarner,AurelionSol,Zeri,Karma,TahmKench,Morgana,Diana,Samira,LeeSin,10700
Teemo,Viego,Ahri,Jhin,Nami,Urgot,Rammus,Anivia,KogMaw,Brand,12429
Kennen,Viego,Syndra,Jhin,Seraphine,Sett,MasterYi,Fizz,Kaisa,Brand,-10801
Mordekaiser,Warwick,Sylas,Twitch,Malphite,Urgot,Briar,Garen,Varus,Brand,-15755
DrMundo,Zac,Yasuo,Caitlyn,Brand,Urgot,Khazix,Viktor,KogMaw,Lux,7954
Malphite,Graves,Katarina,Lucian,TahmKench,Irelia,Nunu,Sett,Caitlyn,Nami,10062
MonkeyKing,Gragas,Azir,Ashe,Seraphine,Kayle,Amumu,Renekton,Kaisa,Lulu,711
Sett,Nocturne,Chogath,Seraphine,Shaco,Malphite,Kindred,Fizz,Jhin,Nami,-11378
Illaoi,Shyvana,Viktor,Caitlyn,Milio,Tryndamere,Vi,Vex,Draven,Seraphine,-9612
Sett,Karthus,Yasuo,Aphelios,Milio,Urgot,Shaco,Galio,Tristana,Leona,-11190
Vayne,Amumu,Yuumi,Smolder,Milio,Nasus,Diana,Hwei,Draven,Thresh,-10529
Volibear,Kayn,Diana,Varus,Nami,Garen,Vi,Brand,Kaisa,Lulu,-11468
Trundle,Rumble,Zed,Kaisa,Lux,Fiora,Shen,Pantheon,Caitlyn,Milio,12841
Urgot,XinZhao,Brand,Lucian,Nami,Kayle,MasterYi,Diana,Kaisa,Alistar,9643
Cassiopeia,Neeko,Nocturne,TahmKench,Tryndamere,Lux,Zeri,Taliyah,Rumble,Senna,769
TwistedFate,Zyra,Tristana,Lucian,Nautilus,Camille,Jax,Lux,Kaisa,Milio,-16530
