Garen,Brand,Zed,Varus,Hwei,Riven,Vi,Lux,Jinx,Senna,-12007,200,NA1_5001545762,1562
Illaoi,Khazix,Vladimir,Twitch,Nautilus,TahmKench,Vi,Katarina,Ashe,Milio,-2633,200,NA1_4955299111,1862
Nasus,XinZhao,Malzahar,Jinx,Yuumi,Hwei,Rammus,Naafiri,Varus,Teemo,10696,100,NA1_4994355465,1636
Trundle,Rengar,Brand,Ashe,Lulu,Kaisa,Zac,Irelia,Jinx,Leona,-5324,200,NA1_4993517204,2119
Renekton,JarvanIV,Akshan,MissFortune,Hwei,MonkeyKing,Rammus,Fizz,Zeri,Janna,-1823,200,NA1_4999143331,1797
DrMundo,Sejuani,Qiyana,MissFortune,Hwei,Nasus,Viego,Tristana,Karthus,Soraka,-7775,200,NA1_5001133258,1992
Yorick,Vi,AurelionSol,Smolder,Leona,Garen,Ivern,Azir,Senna,Thresh,-2091,100,NA1_4938338687,2118
Rumble,Brand,Irelia,Draven,Hwei,Sett,Evelynn,Azir,MissFortune,Karma,-61,200,NA1_4997446598,2501
Sett,Karthus,Azir,Jinx,Poppy,Heimerdinger,Kayn,Vex,Syndra,Morgana,6241,100,NA1_4999010374,966
Trundle,LeeSin,Taliyah,Jhin,Xerath,Yone,Viego,Fizz,Veigar,Neeko,-7809,200,NA1_4996514856,2077
Trundle,Briar,Kassadin,Ashe,Karma,Teemo,Evelynn,Lux,Zeri,Zilean,-8111,200,NA1_4962101008,1488
Chogath,Warwick,Viktor,Vayne,Zyra,Illaoi,Skarner,Vex,Smolder,Thresh,7061,100,NA1_4966057785,1951
Shen,Viego,Ekko,Smolder,Camille,Kled,Briar,Anivia,Aphelios,Illaoi,-9301,200,NA1_4924924892,1832
Malphite,Rengar,Galio,Ezreal,Teemo,Zac,Volibear,Tristana,Jinx,Senna,7048,100,NA1_4947955123,1625
Taric,Lillia,AurelionSol,Aphelios,Diana,Singed,Nidalee,Syndra,MissFortune,Nautilus,-2903,100,NA1_4994322909,2218
TwistedFate,Vi,Malzahar,Ashe,Bard,TahmKench,Brand,AurelionSol,Ezreal,Sett,-12920,200,NA1_4946859964,1419
Gangplank,Kayn,Leblanc,Jinx,Karma,Riven,Rengar,AurelionSol,TwistedFate,Maokai,19,100,NA1_4939709951,106
Camille,Sejuani,AurelionSol,Samira,Nautilus,Riven,Udyr,Ahri,Brand,Sona,9581,100,NA1_4994206581,1565
Gangplank,Nocturne,Sylas,Kaisa,Brand,Kennen,LeeSin,Kayn,Ezreal,Ashe,-12857,200,NA1_4997196830,1620
Vayne,Rammus,Zed,Caitlyn,Lux,Nasus,JarvanIV,Vex,Jinx,Soraka,-6067,200,NA1_4994564305,913
Volibear,Nocturne,Veigar,Twitch,Senna,Urgot,Shyvana,Hwei,Zeri,Lux,1757,100,NA1_4950918817,2451
Illaoi,Volibear,Veigar,MissFortune,Morgana,Garen,Kayn,Malzahar,Jinx,Blitzcrank,-6934,200,NA1_4991370608,1538
Gragas,Kayn,Vex,Caitlyn,Seraphine,Ornn,Poppy,Katarina,Vayne,Milio,-4719,200,NA1_4964727021,2632
Olaf,Belveth,Veigar,Draven,Heimerdinger,Kennen,Pantheon,Akali,Jhin,Shen,-10117,200,NA1_4988036440,1518
Rumble,Kayn,Shen,Ashe,Hwei,Garen,RekSai,Chogath,Ezreal,Morgana,7251,100,NA1_4990714850,1671
Jax,Maokai,Sylas,Draven,Zilean,Teemo,Lillia,Katarina,Ashe,Lulu,-16211,200,NA1_4892373030,2313
Urgot,FiddleSticks,Kassadin,Jinx,Rell,Sion,Brand,Vex,Hwei,Thresh,9726,100,NA1_4906286909,1919
Senna,Jax,Zed,Ezreal,Lux,Chogath,Kayn,Malphite,Tristana,Sona,8816,100,NA1_4986432911,1716
Trundle,Warwick,Malzahar,Lucian,JarvanIV,Chogath,MasterYi,AurelionSol,Twitch,Nautilus,-5422,200,NA1_4996259758,2034
Pantheon,Shaco,Leblanc,Twitch,Lulu,Smolder,Gragas,Brand,Jhin,Zilean,14195,100,NA1_4998847829,2186
Rumble,Viego,Zed,Caitlyn,Soraka,Teemo,Rengar,Diana,Jhin,Rell,-10732,200,NA1_4999848268,936
Darius,Karthus,Viktor,MissFortune,Braum,Skarner,Zyra,AurelionSol,Ezreal,Nami,-1381,100,NA1_4973886097,2429
Jayce,Khazix,Lux,Varus,Leona,Garen,Ekko,Kassadin,Vayne,Sona,-6419,200,NA1_4999578144,1941
Olaf,MasterYi,Hwei,Samira,Blitzcrank,Quinn,MonkeyKing,Malzahar,Vayne,Lulu,-30,100,NA1_4969999299,106
Garen,Briar,Sett,Smolder,Lux,Aatrox,Taliyah,Ekko,Sivir,Morgana,-16538,200,NA1_4941492642,1727
Illaoi,Amumu,Yasuo,Kaisa,Velkoz,Teemo,Viego,Vex,Jinx,Leona,-8435,200,NA1_4994087127,1382
Yorick,XinZhao,AurelionSol,Kaisa,Hwei,Chogath,LeeSin,Swain,Caitlyn,Yuumi,-11566,200,NA1_4990232816,1931
Yone,Poppy,Viktor,Caitlyn,Morgana,Aatrox,Karthus,Swain,Lucian,Alistar,-5264,200,NA1_5001460376,2407
Darius,Warwick,Ahri,Caitlyn,Brand,Veigar,Nocturne,AurelionSol,Ashe,Senna,5945,100,NA1_4984714561,2100
Mordekaiser,MasterYi,Ahri,Xayah,Rakan,Camille,Graves,Swain,Jinx,Zyra,8910,100,NA1_4848645964,1875
Chogath,JarvanIV,Diana,Vayne,Lux,Yone,Nocturne,Orianna,Nilah,Sona,-8310,200,NA1_4986003735,2108
KSante,XinZhao,Ahri,Soraka,JarvanIV,Fiora,Sejuani,Sion,Twitch,Yuumi,9221,100,NA1_4994225302,1887
