T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Shen,MonkeyKing,Malzahar,Vayne,Rell,DrMundo,Graves,Sylas,Ashe,Brand,54.19,54.15,50.86,47.64,58.64,-14894,200
Garen,Warwick,Kennen,Jinx,Karma,Yorick,Evelynn,TwistedFate,Ashe,Milio,56.29,56.99,45.95,50.01,49.74,-7310,200
Malphite,Brand,Ahri,Jhin,Alistar,Mordekaiser,LeeSin,Akali,Smolder,Pantheon,45.01,54.57,49.28,56.55,56.58,-7911,200
Garen,Shaco,Veigar,Kaisa,Braum,Renekton,Trundle,Ryze,Varus,Morgana,55.78,50,48.48,52.28,50.15,-9479,200
Malphite,Brand,Kassadin,Twitch,Leona,Volibear,Graves,Karma,Aphelios,Yuumi,48.15,47.19,50,55.45,54.49,-8455,200
Quinn,JarvanIV,Hwei,Sivir,Lulu,Malphite,Kayn,Syndra,Jhin,Maokai,50.0,51.79,50.0,50.29,46.74,-5412,200
Jhin,Khazix,Udyr,Jinx,Galio,Irelia,Shaco,Yone,Swain,Brand,50,43.76,50,50,56.76,-5032,200
Malphite,Zed,Bard,Ashe,Sylas,Riven,Brand,Briar,Ezreal,Sona,55.77,41.03,50,57.91,43.33,-7537,200
Malphite,Amumu,Zed,Varus,Velkoz,Irelia,Graves,Brand,Kaisa,Thresh,49.13,52.54,46.59,50,52.87,-11842,200
DrMundo,Shaco,Syndra,Ashe,Leona,Camille,XinZhao,AurelionSol,Caitlyn,Sona,47.78,47.77,50.6,51.28,50.97,-6440,200
Tryndamere,MasterYi,Katarina,Tristana,Leona,Brand,MonkeyKing,Jayce,Jhin,Alistar,50,42.86,50.2,50.6,48.94,5731,100
Illaoi,Briar,Velkoz,Tristana,Morgana,Viego,Shyvana,Katarina,Caitlyn,Blitzcrank,50,42.47,52.26,47.4,47.93,-9204,200
Senna,Rammus,Naafiri,Smolder,Singed,RekSai,Diana,Malzahar,Jhin,Lux,50,48.47,58.49,43.45,50,-12262,200
Gangplank,Viego,Anivia,Caitlyn,Twitch,Lucian,Skarner,Fizz,Jinx,Nami,50,48.57,57.76,48.87,48.15,-2840,200
Chogath,FiddleSticks,Galio,Jhin,Nautilus,Garen,JarvanIV,Veigar,Caitlyn,TahmKench,49.62,50,58.65,51.45,48.64,-8618,200
Trundle,FiddleSticks,Fizz,Varus,Milio,Riven,Rammus,Lux,Caitlyn,Xerath,52.59,50,49.8,48.43,54.17,-9449,200
Urgot,Amumu,Akali,MissFortune,Blitzcrank,Aatrox,MasterYi,Gragas,Smolder,Lux,49.29,51.59,46.9,50.0,57.62,11277,100
Illaoi,Belveth,Ahri,Caitlyn,Swain,Riven,Lillia,Veigar,MissFortune,Bard,48.7,50.45,50.79,50.76,55.1,15945,100
TwistedFate,Graves,Naafiri,Jinx,Nautilus,KSante,DrMundo,AurelionSol,MissFortune,Swain,59.48,50,54.55,52.57,47.88,11303,100
Udyr,Graves,Akali,Twitch,Thresh,Aatrox,XinZhao,Orianna,Jhin,Leona,52.51,46.01,51.37,50.17,48.52,2882,200
Renekton,Gragas,Ahri,Caitlyn,Lux,Fiora,LeeSin,Ekko,Smolder,Nautilus,52.49,52.54,48.25,56.97,48.78,9060,100
Aatrox,Poppy,Hwei,Caitlyn,Janna,Jayce,Shaco,Ahri,MissFortune,Morgana,49.09,46.1,49.53,50.76,52.68,-15479,200
Garen,Jax,Diana,Twitch,Thresh,Sion,Amumu,Anivia,Jinx,Soraka,52.61,50.0,50.0,49.78,48.19,-10789,200
Shen,Volibear,Akali,Smolder,Blitzcrank,KSante,Udyr,Ekko,Draven,Janna,61.23,37.63,48.26,46.73,50.05,-10815,200
Mordekaiser,Warwick,Yasuo,Caitlyn,Nami,Sett,Vi,Katarina,Jhin,Thresh,50.92,47.4,50,48.52,49.89,-14849,200
Quinn,Pyke,Hwei,Caitlyn,Sylas,DrMundo,Kayn,Lux,Jhin,Xerath,55.36,50,47.68,48.52,50.0,-7316,200
Vladimir,Rengar,Ahri,Xayah,Maokai,Volibear,Rammus,Malphite,Sivir,Janna,58.14,48.89,57.59,48.86,50.21,10272,100
Yorick,Brand,Yasuo,Kaisa,Zyra,KSante,Diana,Pantheon,Twitch,Karma,56.3,50.24,50,51.18,48.09,9450,100
Riven,Graves,Veigar,Twitch,Milio,Malphite,Nocturne,Taliyah,Jinx,Janna,44.64,51.49,50.0,49.78,51.01,11277,100
Tryndamere,Viego,Akali,Twitch,Janna,Garen,MasterYi,Qiyana,Vayne,Zilean,55.79,51.48,52.45,50.17,51.48,11077,100
Aatrox,Viego,TwistedFate,Jinx,Janna,Kennen,Kayn,Yone,Caitlyn,Shaco,44.36,48.52,60.26,51.09,48.8,-6087,200
Zed,XinZhao,Mordekaiser,Ashe,Nautilus,Yorick,Vi,Sylas,Jinx,Rakan,50,50,68.18,49.97,48.49,13198,100
Kennen,Skarner,Vex,Kaisa,Thresh,Ornn,Kindred,Yasuo,MissFortune,Soraka,45.75,46.96,54.72,51.3,48.19,9961,100
Yorick,Viego,Veigar,KogMaw,Alistar,Mordekaiser,Rengar,Kennen,Brand,Senna,56.69,49.69,56.67,38.78,46.28,6154,100
Darius,Morgana,Lissandra,Twitch,Rakan,Sylas,Poppy,Lux,Sivir,Renata,45.45,54.05,48.86,60.79,50,5608,100
Mordekaiser,Kindred,Yasuo,Nilah,Brand,TahmKench,Nunu,Zed,Twitch,Pantheon,54.75,54.51,50,52.96,48.78,8063,100
Akshan,Brand,AurelionSol,Caitlyn,Zac,Garen,Evelynn,Talon,Veigar,Nautilus,60.0,51.9,49.0,50,49.8,-7852,200
Malphite,Sylas,Lux,Nilah,Senna,Teemo,Karthus,Ahri,Draven,Lulu,51.58,43.99,51.34,57.06,50.59,6538,100
Warwick,Udyr,Ahri,Caitlyn,Lux,Urgot,Zed,Kassadin,KogMaw,Zyra,43.55,52.78,50.15,50.68,52.88,-624,200
Garen,Diana,Yasuo,Ashe,Alistar,Sett,Briar,Hwei,Jinx,Zyra,49.79,48.2,50,49.97,47.93,-5244,200
Yorick,Shyvana,Annie,Caitlyn,Maokai,Yone,Jax,Sylas,Jhin,Karthus,57.42,46.67,44.44,48.52,50,13038,100
Urgot,MasterYi,Lissandra,Caitlyn,Swain,Darius,Karthus,Yasuo,Varus,Senna,48.96,49.73,55.12,51.69,48.41,-13668,200
Teemo,Ivern,Garen,Twitch,Leona,DrMundo,Sylas,Swain,Caitlyn,Pyke,51.35,69.86,50,49.32,49.91,-14419,200
Camille,Rengar,Hwei,Yasuo,Alistar,Jax,JarvanIV,Sylas,Draven,Amumu,51.42,49.64,53.08,50,50,5676,100
Mordekaiser,Rammus,TwistedFate,Twitch,Nautilus,Renekton,Jax,Brand,KogMaw,Nami,52.13,64.0,49.9,50.53,52.75,-5594,200
Fiora,Khazix,Yasuo,Ashe,Leona,Skarner,Shaco,AurelionSol,Jinx,Nami,51.94,43.76,50,49.97,53.12,-6858,200
Twitch,JarvanIV,Zed,Ashe,Lux,Vi,Udyr,Fizz,Jhin,Zyra,50,50.0,53.11,50.29,52.88,8219,100
Mordekaiser,Volibear,Lux,Tristana,Nami,Sett,Nocturne,TahmKench,Brand,Jinx,50.92,44.35,50,42.22,50,-10165,200
Gangplank,Nunu,Xerath,Zeri,Sona,Kayle,Kindred,Malzahar,Jhin,Morgana,46.11,45.49,48.7,46.94,59.42,4261,100
Mordekaiser,Udyr,Kennen,Draven,Leona,Tryndamere,Khazix,Vex,Kalista,Brand,52.32,50,50,50.9,54.63,-5254,200
Kayle,Diana,Anivia,Xayah,Nautilus,Yone,Jax,Lux,Lucian,Leona,51.06,48.31,50.0,47.04,46.29,-14279,200
Nautilus,Zyra,Lissandra,Jinx,Pyke,Kayle,JarvanIV,Ahri,Ashe,Xerath,50,59.38,48.0,50.01,50.89,-12734,200
Tryndamere,MasterYi,Yasuo,Ashe,Thresh,DrMundo,Briar,Ziggs,Jhin,Lux,58.7,49.68,50,50.29,51.18,10460,100
Vladimir,MonkeyKing,Zilean,Ezreal,Janna,Teemo,XinZhao,Zoe,Samira,Leona,50.88,49.72,50,47.38,49.62,10152,100
KSante,FiddleSticks,Vladimir,Smolder,Bard,Poppy,Zac,Yone,Samira,Blitzcrank,44.44,50,50.23,43.34,50.63,-13242,200
Vayne,Kayn,Syndra,MissFortune,Hwei,Teemo,Brand,Smolder,Chogath,Senna,47.31,50.9,50,50,47.3,13013,100
Varus,XinZhao,Fizz,Ezreal,Blitzcrank,Irelia,Rengar,Lissandra,Samira,Ashe,33.33,50,51.06,47.38,52.34,9026,100
Viego,Briar,Malzahar,Draven,Morgana,Shen,Jax,Diana,Varus,Soraka,49.41,48.2,43.82,51.32,48.31,10158,100
Nasus,Amumu,Sion,KogMaw,Maokai,Volibear,Skarner,Irelia,Ezreal,Nautilus,43.68,48.75,50,50.32,47.61,-7394,200
Rumble,Diana,Qiyana,Caitlyn,Leona,TahmKench,Evelynn,KSante,Jinx,Nami,47.92,48.77,50,48.87,53.12,10308,100
Fiora,Elise,Lux,Ashe,Bard,Darius,Nunu,Kassadin,Twitch,Lulu,48.45,49.33,50.79,47.72,53.41,3851,100
Mordekaiser,Zac,Zed,Jinx,Thresh,Kayle,Elise,Gragas,Jhin,Karma,46.11,50.38,46.39,51.13,54.33,-9208,200
Mordekaiser,XinZhao,Yone,Caitlyn,Pyke,Yorick,Diana,Akshan,Brand,Senna,43.45,50,45.35,51.05,55.26,13209,100
Irelia,Sejuani,Lissandra,Jinx,Soraka,Yone,Nocturne,Ahri,Caitlyn,Brand,57.55,42.86,48.0,51.09,55.94,-12487,200
Tryndamere,Shyvana,Vladimir,Samira,Swain,Fiora,Hecarim,Taliyah,Varus,Ashe,53.74,48.45,47.62,50.2,44.12,-6803,200
Sion,Khazix,Hwei,Jhin,Thresh,Illaoi,JarvanIV,Katarina,Sivir,Lux,53.42,47.68,47.98,49.71,51.18,5126,100
Garen,Elise,Ahri,Smolder,Thresh,TahmKench,Khazix,Brand,Ezreal,Nautilus,49.15,50,49.36,47.15,51.35,-7693,200
Yone,Shaco,Lissandra,Caitlyn,Leona,Renekton,Brand,Katarina,Sivir,Velkoz,47.05,52.23,48.26,50.78,50,11590,100
KSante,Viego,Veigar,Smolder,Morgana,Cassiopeia,Kindred,Akshan,Jhin,Thresh,51.43,49.97,42.01,43.45,48.94,-2009,200
Yorick,Viego,Akali,Kaisa,FiddleSticks,Shyvana,Jax,Yasuo,Twitch,Janna,50,50.38,50.91,51.18,50,-13535,200
Shen,Shaco,Katarina,Jhin,Brand,Darius,Nocturne,Diana,Draven,Leona,52.03,49.86,47.82,53.8,45.45,9337,100
Rumble,Lillia,Anivia,Zeri,Nautilus,Mordekaiser,Kindred,Azir,Udyr,Poppy,47.94,48.8,50.42,50,48.42,11935,100
Sett,Kindred,Orianna,Ashe,Malphite,Irelia,Volibear,Azir,Smolder,Lux,53.48,46.11,53.48,57.24,50,10805,100
Gangplank,Viego,Hwei,MissFortune,Rakan,Teemo,MasterYi,Galio,Jinx,Swain,44.71,51.48,52.74,47.43,46.72,-2172,200
Mordekaiser,Udyr,Lucian,Yasuo,Malphite,Darius,Kayn,Lissandra,Varus,Rakan,49.78,50.43,50,50,50,7832,100
DrMundo,Hecarim,Ryze,Tristana,Brand,Riven,Sejuani,Anivia,MissFortune,Xerath,42.31,51.14,50.0,53.78,46.19,-13616,200
Gwen,Nidalee,Yone,MissFortune,TahmKench,Trundle,JarvanIV,Taliyah,Caitlyn,Leona,56.1,49.93,42.3,49.28,47.78,-6938,200
Garen,Warwick,Akali,Jinx,Lux,Darius,JarvanIV,Galio,Smolder,Maokai,46.86,54.91,41.43,59.93,45.86,10705,100
Nasus,Lillia,Qiyana,Jhin,Morgana,Mordekaiser,Hecarim,Katarina,Corki,Thresh,48.04,49.64,53.64,52.44,48.94,9538,100
Kayle,FiddleSticks,Malzahar,Jinx,TahmKench,Illaoi,Karthus,Naafiri,Caitlyn,Bard,47.19,50,41.51,51.09,60.0,6770,100
Gangplank,Nocturne,Veigar,Sivir,Brand,Jayce,Nunu,Swain,Ashe,Bard,48.56,46.15,49.06,48.68,46.97,-11616,200
Mordekaiser,Elise,Akali,Seraphine,Senna,KSante,Diana,Swain,Samira,Amumu,58.51,52.04,55.08,53.23,50,-7185,200
Kayle,Kayn,Zed,Tristana,Maokai,Tryndamere,Warwick,Veigar,Kaisa,Zyra,49.0,50.77,51.22,50,48.46,10356,100
Mordekaiser,Brand,Tristana,Jinx,Blitzcrank,Sett,Zac,Akshan,Vayne,Lux,50.92,46.23,45.01,54.41,57.62,-10564,200
Gangplank,Hecarim,Syndra,Ashe,Karma,Kennen,Briar,Lux,Jhin,Morgana,41.49,49.43,46.95,50.29,49.87,9902,100
Darius,Kindred,Ahri,Jhin,Blitzcrank,Jayce,Ivern,Orianna,Twitch,Yuumi,50.59,52.08,49.5,49.83,55.13,21076,100
Darius,Ivern,Zoe,Jinx,Xerath,Sett,Kayn,Syndra,Jhin,Lux,46.86,57.46,51.61,51.13,51.47,-672,200
Gangplank,Sejuani,Talon,Veigar,Blitzcrank,MonkeyKing,Brand,TwistedFate,Draven,Nami,50.0,47.26,50.19,56.16,51.6,-9734,200
Quinn,Shaco,Varus,MissFortune,Pyke,Nasus,Nocturne,Hwei,Twitch,Seraphine,52.48,49.86,43.14,48.29,55.43,9064,100
Kennen,Viego,Zed,MissFortune,Nautilus,Urgot,FiddleSticks,Cassiopeia,Samira,Morgana,46.02,50,51.21,49.66,47.31,248,100
Yone,XinZhao,Ahri,Senna,Pyke,Mordekaiser,Nocturne,Ezreal,Akshan,Rakan,53.58,50,50,50,49.0,-8391,200
Sion,Amumu,AurelionSol,Ashe,Lulu,Varus,Volibear,Malzahar,Jhin,Soraka,50,51.82,51.87,50.29,47.04,-4136,200
Jax,Volibear,Ekko,Ashe,Brand,Fiora,Nocturne,Sylas,Caitlyn,Seraphine,51.0,44.35,45.83,51.28,47.25,1020,200
Gangplank,Sylas,Swain,Caitlyn,Janna,Vladimir,XinZhao,Kaisa,Smolder,Hwei,52.17,39.66,50,56.97,53.47,8785,100
Jayce,Vi,Ahri,Jinx,Velkoz,Yorick,Lillia,Annie,Lucian,Blitzcrank,42.03,47.88,49.89,52.56,45.65,10166,100
Darius,Hecarim,Sylas,Kaisa,Senna,Jax,Gragas,Yasuo,Vayne,Milio,51.66,45.37,51.49,50.48,48.53,7652,100
Gnar,Nunu,Karma,Senna,TahmKench,Aatrox,Kindred,AurelionSol,Seraphine,Nami,49.41,45.49,38.0,50,50.0,-6816,200
Kled,Zac,Yasuo,Varus,Ashe,Gnar,XinZhao,Karma,Caitlyn,Lux,53.91,50.84,50,48.43,44.88,14095,100
Akali,Lillia,Nasus,Vayne,Nautilus,Garen,Diana,Malzahar,Twitch,Lulu,42.03,48.23,50,49.83,53.42,-10103,200
Gwen,LeeSin,Vex,Caitlyn,Leona,Garen,RekSai,Veigar,Ashe,Morgana,50.79,42.49,56.16,48.87,50.31,-4870,200
Singed,Karma,Zed,Samira,Amumu,Aatrox,Volibear,Xerath,Lucian,Janna,53.93,50,41.62,50.68,54.0,14119,100
Talon,Udyr,Katarina,MissFortune,Blitzcrank,Yasuo,XinZhao,Diana,Vayne,Rakan,50,53.94,47.82,53.1,44.53,-8688,200
Urgot,Trundle,Lux,Lucian,Thresh,Garen,MasterYi,Hwei,Zeri,Senna,54.05,50,52.32,53.52,52.01,15061,100
Camille,Lillia,Garen,Jhin,Poppy,Yorick,Kindred,Azir,Draven,Thresh,55.92,48.8,50,53.8,51.75,5717,100
Vayne,Viego,Qiyana,TwistedFate,Maokai,Darius,LeeSin,Cassiopeia,Ashe,Soraka,53.21,50.99,56.6,50,47.26,-4503,200
Olaf,Zac,Zed,Aphelios,Nami,Sett,Briar,Sylas,Ashe,Karma,51.98,44.93,45.82,45.15,50.46,-1076,200
Sett,TwistedFate,Fizz,Velkoz,Xerath,TahmKench,Sylas,Nasus,Vayne,Pantheon,47.27,50,50,50,51.06,3999,100
Malphite,MasterYi,Ahri,Tristana,Lulu,Darius,Warwick,Akali,Jhin,Neeko,50.65,49.55,49.28,50.6,53.94,-5761,200
Ornn,XinZhao,AurelionSol,Jayce,Ashe,Kayle,Lillia,Leblanc,KogMaw,Lux,47.19,50,50,50,44.88,-9117,200
Volibear,Shaco,Leblanc,KogMaw,Lulu,Yorick,MasterYi,Irelia,Xayah,Rakan,57.28,56.7,50.75,50.84,47.82,10384,100
Sett,Shyvana,Diana,Lucian,Lux,Ornn,Ekko,Akshan,Caitlyn,Chogath,52.21,48.65,50.24,47.78,50,9096,100
Azir,Jax,Orianna,Samira,Thresh,Tryndamere,Lillia,Qiyana,Jhin,Singed,50,48.46,50.0,49.47,50,5869,100
Teemo,Hecarim,Vladimir,Caitlyn,Lulu,Riven,Kayn,Brand,Samira,Neeko,50.94,52.49,43.89,49.49,53.94,11080,100
Irelia,Rengar,Akshan,MissFortune,Lux,Singed,Talon,Sylas,Smolder,Milio,60.92,52.17,54.19,50.0,46.48,15314,100
Singed,Vi,Vladimir,Lucian,Bard,Ornn,Ekko,Qiyana,Samira,Senna,63.37,47.65,54.4,49.32,47.28,-7906,200
Garen,Vi,AurelionSol,Jhin,Neeko,Aatrox,Kayn,Brand,Xayah,Rakan,52.31,50.11,53.19,55.76,54.23,-9203,200
Tryndamere,Volibear,Xerath,Zeri,Nami,Kayn,Lillia,Akali,Samira,Nautilus,50,48.86,52.89,47.2,47.25,13940,100
Cassiopeia,Kayn,Yasuo,Jinx,Chogath,Garen,Nocturne,Hwei,Caitlyn,Xerath,37.84,51.16,50,51.09,50,6022,100
Malphite,Khazix,AurelionSol,Kaisa,Leona,Jayce,Nunu,Anivia,Aphelios,Milio,56.32,51.3,51.0,50.78,54.32,12381,100
Singed,Viego,Ahri,Brand,Pyke,KSante,Kindred,Quinn,Ashe,Soraka,58.82,49.97,50,48.41,51.56,-5451,200
Pantheon,LeeSin,Xerath,Sivir,Janna,Garen,Kayn,Vex,Xayah,Zyra,49.61,48.95,50.88,51.14,54.67,-6655,200
Tryndamere,LeeSin,Fizz,Jhin,Nautilus,Teemo,MasterYi,Garen,Smolder,Blitzcrank,49.26,54.34,50,56.55,49.18,9298,100
Tryndamere,Ekko,Zed,Xayah,Senna,Yorick,Rammus,Anivia,Caitlyn,Blitzcrank,55.28,49.56,50.21,49.15,44.01,13130,100
Kayn,Lillia,Ziggs,Yasuo,Braum,Trundle,Nocturne,Jayce,TwistedFate,Brand,50,51.63,50,50,54.26,-9258,200
Yone,Zac,Lux,Senna,Veigar,Yasuo,Diana,Ahri,Sivir,Seraphine,46.01,43.67,51.34,50,50,-21,100
Gragas,Sejuani,Gangplank,Ezreal,AurelionSol,Trundle,Vi,Katarina,Vayne,Janna,57.69,45.64,45.45,45.35,50,-15452,200
Kayle,Vi,Katarina,Vayne,Lissandra,Trundle,Briar,Tryndamere,Caitlyn,Morgana,53.26,52.15,50,46.03,50,-14704,200
Azir,MasterYi,Veigar,Jinx,Morgana,Kayle,Teemo,Syndra,Smolder,Poppy,50,50,50.38,59.93,45.83,17452,100
Urgot,Vi,Vladimir,Ezreal,Brand,Chogath,Hecarim,Kled,Jhin,Nami,50,46.54,50,43.79,45.82,-4686,200
Irelia,Briar,Galio,Draven,Karma,Sion,Evelynn,Katarina,MissFortune,Maokai,49.04,53.08,49.9,45.52,45.12,-12387,200
Camille,MasterYi,Katarina,Caitlyn,Senna,Poppy,Skarner,Yasuo,Smolder,Zoe,50.66,49.11,46.41,56.97,50,-60,200
Trundle,LeeSin,Fizz,Xayah,Sona,DrMundo,MasterYi,Ahri,Caitlyn,Rell,49.61,54.34,51.12,49.15,48.65,9809,100
Tryndamere,Lillia,TwistedFate,Jhin,Zac,Malphite,Belveth,Hwei,Caitlyn,Maokai,49.08,50,51.23,51.45,58.82,-4276,200
Gwen,LeeSin,TwistedFate,Nilah,Leona,Chogath,Jax,Jayce,Jinx,Milio,50,45.51,52.97,48.63,54.32,1543,200
Poppy,Rengar,Neeko,Smolder,Sona,Aatrox,Diana,Kaisa,Jinx,Pyke,57.2,49.45,50,40.07,50.43,4541,100
Jhin,Poppy,Syndra,Caitlyn,Lux,Kennen,Kayn,Heimerdinger,MissFortune,Hwei,50,45.91,50,50.76,52.22,11023,100
Riven,Yorick,Brand,Samira,Shen,Heimerdinger,Kayn,Ahri,Lucian,Maokai,52.94,50,50.64,50.68,50,10566,100
Ornn,MasterYi,TwistedFate,Senna,Lulu,Sett,Amumu,Ahri,Nilah,Janna,47.79,48.41,52.08,50,49.54,-9885,200
Trundle,MasterYi,Hwei,Caitlyn,Janna,Aatrox,XinZhao,Vex,Draven,Seraphine,50.48,47.83,53.58,53.19,51.22,-2553,200
Sion,Nocturne,Syndra,Jinx,Malzahar,Mordekaiser,Elise,Zed,Kaisa,Leona,47.41,45.11,50.25,50,50,11062,100
Shyvana,MasterYi,Yorick,Lucian,Nami,TwistedFate,Vi,Veigar,Ezreal,Yuumi,50,47.84,50,52.36,53.69,-11125,200
Yasuo,Zac,Diana,Vayne,Nautilus,Urgot,Volibear,Renekton,Twitch,Annie,50,47.97,50,49.83,50,10580,100
Teemo,Malphite,Zed,Twitch,Xerath,DrMundo,Evelynn,Urgot,Kaisa,Neeko,51.35,50,50,50,56.16,0,200
Mordekaiser,Amumu,Ahri,Karthus,Leblanc,Malphite,Kayn,Yasuo,Jhin,Zyra,55.05,50.19,48.78,53.18,50,-7620,200
Sett,Nocturne,Leblanc,Senna,Camille,Fiora,Brand,Yone,Draven,Nami,51.29,50.88,56.61,53.25,48.04,9142,100
Garen,Teemo,Yone,Jinx,Brand,Gwen,Vi,Jhin,Seraphine,Sona,49.41,50,50,46.54,38.12,-8369,200
Mordekaiser,Brand,Hwei,Draven,Leona,Tryndamere,MasterYi,Veigar,Caitlyn,Amumu,52.32,49.24,50.08,46.81,50,-12606,200
Malphite,Lillia,Akali,Jhin,Nautilus,TwistedFate,XinZhao,Lux,Ezreal,Zac,48.6,49.3,48.8,56.18,50.2,-5394,200
Mordekaiser,Briar,AurelionSol,Smolder,Janna,Singed,Warwick,Annie,Vayne,Maokai,47.0,52.63,46.52,47.19,49.79,-8847,200
Mordekaiser,XinZhao,Sylas,Jhin,Maokai,Gragas,Garen,Vladimir,Varus,Camille,47.61,50,49.07,54.28,49.55,7670,100
Kled,Briar,Diana,Ezreal,Janna,Illaoi,Viego,Akali,Vayne,Karma,53.76,47.87,51.19,45.35,53.16,7496,100
Yasuo,Hecarim,Shaco,Jhin,Yuumi,Sett,JarvanIV,Veigar,Zeri,Xerath,50,48.09,50,53.06,49.62,11575,100
Taric,Skarner,Veigar,Kalista,Janna,Aatrox,LeeSin,AurelionSol,Ezreal,Lulu,50,54.69,54.98,54.35,50.46,14001,100
Fiora,LeeSin,Ekko,Draven,Leona,Darius,Viego,Katarina,Zeri,Blitzcrank,48.45,48.98,46.43,52.12,52.7,12285,100
Yone,Warwick,Malzahar,Smolder,Nunu,Urgot,FiddleSticks,Anivia,Vayne,Nami,46.38,50,46.95,47.19,50,8965,100
Udyr,Kayn,Ahri,Kaisa,Rell,Viego,Gwen,Yasuo,Samira,Janna,50,54.35,48.78,48.34,48.24,14216,100
Sett,Nocturne,Orianna,Chogath,Rakan,Poppy,Hecarim,Ziggs,Jhin,Morgana,50.53,51.75,47.37,50,52.16,-13789,200
Malphite,XinZhao,Kassadin,Jhin,Zilean,Mordekaiser,LeeSin,Diana,Vayne,Nautilus,45.01,50,50.75,53.57,50,8870,100
TahmKench,Amumu,Brand,Vayne,Lux,JarvanIV,Malphite,Naafiri,MissFortune,Nami,50,50,43.86,46.9,49.14,-11039,200
Riven,Kindred,Akali,Ezreal,Seraphine,Urgot,Sejuani,Sylas,Jhin,FiddleSticks,49.3,52.91,49.08,43.79,50,7618,100
KSante,Skarner,Azir,Ashe,Morgana,Mordekaiser,LeeSin,Xerath,Jinx,Alistar,41.42,54.69,49.57,49.97,45.92,-13150,200
Nautilus,Brand,Ekko,Twitch,Senna,Yorick,Jhin,Veigar,RekSai,Nami,50,50,56.92,50,47.62,11878,100
Darius,LeeSin,Malzahar,KogMaw,Senna,Garen,Nocturne,Orianna,Jinx,Ashe,53.43,48.84,47.47,47.76,52.62,3276,100
KSante,LeeSin,Azir,Ezreal,Thresh,Riven,Maokai,Yasuo,Draven,Milio,42.1,50,49.42,47.91,52.39,10139,100
Garen,Shyvana,Diana,Zeri,Senna,Fiora,LeeSin,Morgana,Vayne,Lulu,47.65,48.74,50,43.55,50.59,-3525,200
Irelia,Warwick,Malzahar,Ezreal,Morgana,Katarina,Viego,Jayce,Jhin,Sona,50,54.53,54.29,43.79,40.58,15566,100
Kayle,Shaco,Yasuo,MissFortune,Nami,Camille,Yone,Garen,Corki,Poppy,51.56,50,50,57.01,48.73,21,200
Illaoi,Amumu,Veigar,Ashe,Nautilus,Fiora,Brand,Twitch,Karthus,Sona,46.91,41.38,50,40.94,53.29,-6331,200
Jax,Briar,Smolder,Ashe,Zac,Volibear,Ivern,Zyra,Caitlyn,Morgana,51.65,43.75,50,51.28,61.76,10143,100
Darius,Evelynn,Hwei,Jhin,Sona,Kennen,Nocturne,Teemo,Aphelios,Senna,44.34,44.44,50,54.44,50.0,-7075,200
Mordekaiser,Rammus,Yasuo,Aphelios,Zilean,Urgot,Volibear,Sylas,Caitlyn,Alistar,48.79,50.0,50,45.97,50,-10034,200
Kled,JarvanIV,Veigar,Smolder,Senna,Nasus,Gragas,Taliyah,Jinx,Milio,57.26,47.19,50.0,40.07,48.53,8442,100
Trundle,Kayn,Veigar,Draven,Pantheon,Volibear,Viego,Fizz,Varus,Leona,53.24,51.48,55.3,51.32,43.37,6110,100
Tryndamere,Jax,Diana,Ashe,Janna,Garen,Warwick,Zed,Veigar,Zyra,55.79,45.0,52.11,50,54.67,7418,100
Kayle,Ivern,Jayce,Ziggs,Zilean,Shen,JarvanIV,Ahri,Ashe,Pyke,48.64,51.23,44.87,50,50,-16695,200
Cassiopeia,Zac,Trundle,Jhin,Milio,Irelia,Sett,Zoe,Caitlyn,Ashe,50.47,50,50,51.45,54.73,2647,100
Mordekaiser,Graves,Galio,Ezreal,Leona,Urgot,Rammus,Azir,Jhin,Zilean,48.79,46.2,58.87,43.79,55.56,10567,100
Teemo,Khazix,Ahri,Lucian,Swain,Gwen,Udyr,Qiyana,Jinx,Janna,54.17,45.87,49.03,47.44,43.7,-8203,200
Yone,Belveth,Vex,Jinx,Lux,Jax,Zac,Orianna,Tristana,Velkoz,44.61,49.15,48.03,52.58,50,-9234,200
Urgot,Briar,Sylas,Jinx,Pyke,Trundle,Sejuani,Tristana,Vayne,Brand,39.82,47.5,52.22,54.41,54.84,-6317,200
Riven,Volibear,Yasuo,Jinx,Brand,Kayle,Graves,Renekton,Draven,Rakan,49.09,54.23,50,54.88,48.59,-12217,200
Shen,Shaco,Vi,Zeri,Lux,Camille,Nunu,Ziggs,Jinx,Zyra,47.02,48.89,50,46.04,52.88,-9077,200
Mordekaiser,MasterYi,Vex,Vayne,Nautilus,Shen,Gragas,Yone,Yasuo,Leona,50.1,50.67,60.32,52.11,46.29,7653,100
Maokai,Belveth,Karma,Yasuo,Alistar,KSante,Warwick,Talon,MissFortune,Pyke,45.1,59.68,50,50,50.41,9727,100
Garen,Nocturne,Galio,Samira,Swain,Bard,Viego,Chogath,Lucian,Rell,50,50.17,50,50.68,43.16,-11399,200
Heimerdinger,LeeSin,Annie,Caitlyn,Janna,Mordekaiser,Skarner,Yone,Aphelios,Xerath,54.29,45.31,57.41,54.03,52.74,15205,100
