T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Darius,Skarner,Fizz,MissFortune,Xerath,Trundle,Zac,AurelionSol,Smolder,Maokai,57.47,54.27,52.5,50.0,52.87,-10555,200
Sett,Sejuani,Anivia,Senna,Rammus,LeeSin,Warwick,Diana,Corki,Morgana,50,46.6,50.42,51.16,50,6312,100
Illaoi,Gragas,Ahri,Caitlyn,Lux,Mordekaiser,LeeSin,Ekko,Twitch,Leona,49.04,52.54,48.25,50.76,50.51,8845,100
Yorick,Graves,Lissandra,Samira,Taric,Jax,Khazix,Akshan,Smolder,Thresh,50.68,50,44.6,56.66,51.07,5074,100
Renekton,Nocturne,Yone,Swain,Rell,Ryze,Warwick,Sylas,MissFortune,Sona,57.14,42.11,46.02,44.44,51.35,12898,100
Sett,Brand,Hwei,Varus,Pyke,Illaoi,Ivern,Tristana,KogMaw,Lulu,53.33,48.46,51.8,49.5,52.08,-2297,200
Nasus,Ekko,Vladimir,Yasuo,Lulu,Singed,Briar,Irelia,Ashe,Shaco,54.84,50.61,56.43,50,51.57,11419,100
Olaf,Briar,Vex,KogMaw,Soraka,Shen,Zac,Leblanc,Caitlyn,Milio,52.11,55.07,50,49.42,51.04,9853,100
Yone,LeeSin,Katarina,MissFortune,Bard,Pantheon,Briar,Yasuo,KogMaw,Seraphine,43.37,49.32,46.41,46.27,52.0,-3968,200
Pantheon,Rengar,Karma,Twitch,Teemo,TahmKench,Kindred,Veigar,Lucian,Milio,44.0,47.56,46.67,51.47,50.0,-8902,200
Garen,Viego,Sylas,KogMaw,Shaco,Chogath,Briar,Vladimir,Smolder,Braum,50,52.11,49.07,53.39,51.24,-2157,200
Volibear,Rengar,Diana,MissFortune,Maokai,FiddleSticks,Shaco,Anivia,Ezreal,Lux,50,45.68,50.0,51.88,54.14,10818,100
Zilean,MonkeyKing,Zed,Ashe,Morgana,Sett,Nocturne,Hwei,Jinx,Milio,50,50.96,48.44,49.97,42.8,-6952,200
